week_start,asof_date,universe_version,db_version,run_id,section,row_type,row_no,priority,theme,theme_rank,theme_heat_score,theme_heat_wow,heat_z,ir_z,search_z,margin_z,volume_z,theme_reason,overall_rank,code,company,market,tag,fit_score,total_score,trad01,trad_adj,weekly_volume,vol01,volume_adj,ret_1w,contrarian_adj,overheat_flag,exclude_flag,reason,run_status,stop_reason,portfolio_rule,headline,note,commentary
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,1,1,,,,,,,,,,,,6702,富士通,,押し目+急騰テーマ,,,,,63502400.0,,,-0.0863880457623161,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,2,2,,,,,,,,,,,,2980,ＳＲＥホールディングス,,押し目+急騰テーマ,,,,,3038600.0,,,-0.1694915254237288,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,3,3,,,,,,,,,,,,3694,オプティム,,押し目+急騰テーマ,,,,,1067200.0,,,-0.0482897384305834,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,4,4,,,,,,,,,,,,5132,ｐｌｕｓｚｅｒｏ,,押し目+急騰テーマ,,,,,363000.0,,,-0.0568945080995654,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,5,5,,,,,,,,,,,,4716,日本オラクル,,押し目+急騰テーマ,,,,,2089500.0,,,-0.1040152963671128,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,6,6,,,,,,,,,,,,3491,ＧＡ ｔｅｃｈｎｏｌｏｇｉｅｓ,,急騰テーマ,,,,,1992000.0,,,-0.0211946050096338,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,7,7,,,,,,,,,,,,2354,ＹＥ ＤＩＧＩＴＡＬ,,急騰テーマ,,,,,496600.0,,,-0.030264817150063,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,8,8,,,,,,,,,,,,4751,サイバーエージェント,,押し目+急騰テーマ,,,,,29332200.0,,,-0.1085326669046768,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,9,9,,,,,,,,,,,,2321,ソフトフロントホールディングス,,押し目+急騰テーマ,,,,,2124300.0,,,-0.0753768844221105,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,ROW,10,10,,,,,,,,,,,,2158,ＦＲＯＮＴＥＯ,,急騰テーマ,,,,,1433700.0,,,0.0131421744324971,,,1.0,急騰のため監視,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,WATCH_SURGE,FOOTER,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,急騰監視はBUY対象外（監視のみ）。,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,COMMENTARY,HEADER,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",🧠 今週の一言,,
2026-02-02,2026-02-22,selected_all_long.csv,C:\Users\asame\Desktop\ai_business\trends.db,20260222_1645,COMMENTARY,ROW,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUN,,"MonOpen, TOP5 equal-weight, hold 1w",,,今週は「SaaS」が最も高温。IR(+1.06)・検索(+0.39)・信用(+0.79)の合算で温度が加速（WoW +8.8）。BUYは押し目優遇・過熱除外ルールで横断TOP5を選別。
